":ID",":LABEL","citation","type","lane"
"RULE_231","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_232","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_233","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_234","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_235","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_236","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_237","Rule","CASE_LAW","CASE_LAW","F6-F7"
"RULE_238","Rule","CASE_LAW","CASE_LAW","F2"
"RULE_239","Rule","CASE_LAW","CASE_LAW","F4-F5"
"RULE_240","Rule","CASE_LAW","CASE_LAW","F1-F10"
"RULE_241","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_242","Rule","CASE_LAW","CASE_LAW","F1-F10"
"RULE_243","Rule","CASE_LAW","CASE_LAW","F1-F10"
"RULE_244","Rule","CASE_LAW","CASE_LAW","F2"
"RULE_245","Rule","CASE_LAW","CASE_LAW","F8"
"RULE_246","Rule","CASE_LAW","CASE_LAW","F1"
"RULE_247","Rule","CASE_LAW","CASE_LAW","F9-F10"
"RULE_248","Rule","CASE_LAW","CASE_LAW","F1-F10"
"RULE_249","Rule","CASE_LAW","CASE_LAW","F6-F7"
"RULE_250","Rule","CASE_LAW","CASE_LAW","A"
"RULE_251","Rule","CASE_LAW","CASE_LAW","A"
"RULE_252","Rule","CASE_LAW","CASE_LAW","A"
"RULE_253","Rule","CASE_LAW","CASE_LAW","A"
"RULE_254","Rule","CASE_LAW","CASE_LAW","A"
"RULE_255","Rule","CASE_LAW","CASE_LAW","A"
"RULE_256","Rule","CASE_LAW","CASE_LAW","A"
"RULE_257","Rule","CASE_LAW","CASE_LAW","A"
"RULE_258","Rule","CASE_LAW","CASE_LAW","A"
"RULE_259","Rule","CASE_LAW","CASE_LAW","A"
"RULE_260","Rule","CASE_LAW","CASE_LAW","All"
"RULE_261","Rule","CASE_LAW","CASE_LAW","All"
"RULE_262","Rule","CASE_LAW","CASE_LAW","A"
"RULE_263","Rule","CASE_LAW","CASE_LAW","F"
"RULE_264","Rule","CASE_LAW","CASE_LAW","A"
"RULE_265","Rule","CASE_LAW","CASE_LAW","A"
"RULE_266","Rule","CASE_LAW","CASE_LAW","A"
"RULE_267","Rule","CASE_LAW","CASE_LAW","E"
"RULE_268","Rule","CASE_LAW","CASE_LAW","E"
"RULE_269","Rule","CASE_LAW","CASE_LAW","E"
"RULE_270","Rule","CASE_LAW","CASE_LAW","E"
"RULE_271","Rule","CASE_LAW","CASE_LAW","E"
"RULE_272","Rule","CASE_LAW","CASE_LAW","E"
"RULE_273","Rule","CASE_LAW","CASE_LAW","E"
"RULE_274","Rule","CASE_LAW","CASE_LAW","E"
"RULE_275","Rule","CASE_LAW","CASE_LAW","E"
"RULE_276","Rule","CASE_LAW","CASE_LAW","E"
"RULE_277","Rule","CASE_LAW","CASE_LAW","E"
"RULE_278","Rule","CASE_LAW","CASE_LAW","E"
"RULE_279","Rule","CASE_LAW","CASE_LAW","E"
"RULE_280","Rule","CASE_LAW","CASE_LAW","E"
"RULE_281","Rule","CASE_LAW","CASE_LAW","E"
"RULE_282","Rule","CASE_LAW","CASE_LAW","E"
"RULE_283","Rule","CASE_LAW","CASE_LAW","All"
"RULE_284","Rule","CASE_LAW","CASE_LAW","All"
"RULE_285","Rule","CASE_LAW","CASE_LAW","All"
"RULE_286","Rule","CASE_LAW","CASE_LAW","All"
"RULE_287","Rule","CASE_LAW","CASE_LAW","All"
"RULE_288","Rule","MCR","MCR",""
"RULE_289","Rule","MCR","MCR",""
"RULE_290","Rule","MCR","MCR",""
"RULE_291","Rule","MCR","MCR",""
