":ID",":LABEL","name","bates_number","lane","source"
"EXHB_273","Exhibit","A","PIGORS-F01-0273","","judicial_bias_chronology"
"EXHB_274","Exhibit","A","PIGORS-F01-0274","","judicial_bias_chronology"
"EXHB_275","Exhibit","A","PIGORS-F01-0275","","judicial_bias_chronology"
"EXHB_276","Exhibit","A","PIGORS-F01-0276","","judicial_bias_chronology"
"EXHB_277","Exhibit","A","PIGORS-F01-0277","","judicial_bias_chronology"
"EXHB_278","Exhibit","A","PIGORS-F01-0278","","judicial_bias_chronology"
"EXHB_279","Exhibit","A","PIGORS-F01-0279","","judicial_bias_chronology"
"EXHB_280","Exhibit","A","PIGORS-F01-0280","","judicial_bias_chronology"
"EXHB_281","Exhibit","A","PIGORS-F01-0281","","judicial_bias_chronology"
"EXHB_282","Exhibit","A","PIGORS-F01-0282","","judicial_bias_chronology"
"EXHB_283","Exhibit","A","PIGORS-F01-0283","","judicial_bias_chronology"
"EXHB_284","Exhibit","A","PIGORS-F01-0284","","judicial_bias_chronology"
"EXHB_285","Exhibit","A","PIGORS-F01-0285","","judicial_bias_chronology"
"EXHB_286","Exhibit","A","PIGORS-F01-0286","","judicial_bias_chronology"
"EXHB_287","Exhibit","A","PIGORS-F01-0287","","judicial_bias_chronology"
"EXHB_288","Exhibit","A","PIGORS-F01-0288","","judicial_bias_chronology"
"EXHB_289","Exhibit","A","PIGORS-F01-0289","","judicial_bias_chronology"
"EXHB_290","Exhibit","A","PIGORS-F01-0290","","judicial_bias_chronology"
"EXHB_291","Exhibit","A","PIGORS-F01-0291","","judicial_bias_chronology"
"EXHB_292","Exhibit","A","PIGORS-F01-0292","","judicial_bias_chronology"
"EXHB_293","Exhibit","A","PIGORS-F01-0293","","judicial_bias_chronology"
"EXHB_294","Exhibit","A","PIGORS-F01-0294","","judicial_bias_chronology"
"EXHB_295","Exhibit","A","PIGORS-F01-0295","","judicial_bias_chronology"
"EXHB_296","Exhibit","A","PIGORS-F01-0296","","judicial_bias_chronology"
"EXHB_297","Exhibit","A","PIGORS-F01-0297","","judicial_bias_chronology"
"EXHB_298","Exhibit","A","PIGORS-F01-0298","","judicial_bias_chronology"
"EXHB_299","Exhibit","A","PIGORS-F01-0299","","judicial_bias_chronology"
"EXHB_300","Exhibit","A","PIGORS-F01-0300","","judicial_bias_chronology"
"EXHB_301","Exhibit","A","PIGORS-F01-0301","","judicial_bias_chronology"
"EXHB_302","Exhibit","A","PIGORS-F01-0302","","judicial_bias_chronology"
"EXHB_303","Exhibit","A","PIGORS-F01-0303","","judicial_bias_chronology"
"EXHB_304","Exhibit","A","PIGORS-F01-0304","","judicial_bias_chronology"
"EXHB_305","Exhibit","A","PIGORS-F01-0305","","judicial_bias_chronology"
"EXHB_306","Exhibit","A","PIGORS-F01-0306","","judicial_bias_chronology"
"EXHB_307","Exhibit","A","PIGORS-F01-0307","","judicial_bias_chronology"
"EXHB_308","Exhibit","A","PIGORS-F01-0308","","judicial_bias_chronology"
"EXHB_309","Exhibit","A","PIGORS-F01-0309","","judicial_bias_chronology"
"EXHB_310","Exhibit","A","PIGORS-F01-0310","","judicial_bias_chronology"
"EXHB_311","Exhibit","A","PIGORS-F01-0311","","judicial_bias_chronology"
"EXHB_312","Exhibit","A","PIGORS-F01-0312","","judicial_bias_chronology"
"EXHB_313","Exhibit","A","PIGORS-F01-0313","","judicial_bias_chronology"
"EXHB_314","Exhibit","A","PIGORS-F01-0314","","judicial_bias_chronology"
"EXHB_315","Exhibit","A","PIGORS-F01-0315","","judicial_bias_chronology"
"EXHB_316","Exhibit","A","PIGORS-F01-0316","","judicial_bias_chronology"
"EXHB_317","Exhibit","A","PIGORS-F01-0317","","judicial_bias_chronology"
"EXHB_318","Exhibit","A","PIGORS-F01-0318","","judicial_bias_chronology"
"EXHB_319","Exhibit","A","PIGORS-F01-0319","","judicial_bias_chronology"
"EXHB_320","Exhibit","A","PIGORS-F01-0320","","judicial_bias_chronology"
"EXHB_321","Exhibit","A","PIGORS-F01-0321","","judicial_bias_chronology"
"EXHB_322","Exhibit","A","PIGORS-F01-0322","","judicial_bias_chronology"
"EXHB_323","Exhibit","A","PIGORS-F01-0323","","judicial_bias_chronology"
"EXHB_324","Exhibit","A","PIGORS-F01-0324","","judicial_bias_chronology"
"EXHB_325","Exhibit","A","PIGORS-F01-0325","","judicial_bias_chronology"
"EXHB_326","Exhibit","A","PIGORS-F01-0326","","judicial_bias_chronology"
"EXHB_327","Exhibit","A","PIGORS-F01-0327","","judicial_bias_chronology"
"EXHB_328","Exhibit","A","PIGORS-F01-0328","","judicial_bias_chronology"
"EXHB_329","Exhibit","A","PIGORS-F01-0329","","judicial_bias_chronology"
"EXHB_330","Exhibit","A","PIGORS-F01-0330","","judicial_bias_chronology"
"EXHB_331","Exhibit","A","PIGORS-F01-0331","","judicial_bias_chronology"
"EXHB_332","Exhibit","A","PIGORS-F01-0332","","judicial_bias_chronology"
"EXHB_333","Exhibit","A","PIGORS-F01-0333","","judicial_bias_chronology"
"EXHB_334","Exhibit","A","PIGORS-F01-0334","","judicial_bias_chronology"
"EXHB_335","Exhibit","A","PIGORS-F01-0335","","judicial_bias_chronology"
"EXHB_336","Exhibit","A","PIGORS-F01-0336","","judicial_bias_chronology"
"EXHB_337","Exhibit","A","PIGORS-F01-0337","","judicial_bias_chronology"
"EXHB_338","Exhibit","A","PIGORS-F01-0338","","judicial_bias_chronology"
