"Extension","Count","SizeMB"
".gitattributes_e753774a_copy1","2","0"
".gs","2","0"
".winmd","2","0"
".gitattributes_copy1","2","0"
".wpaProfile","2","0.1"
".wprp","2","0"
".gitattributes_copy2","2","0"
".gitmodules_a4101e22_copy1","2","0"
".202212101352__META-INF__NOTICE","2","0"
".zlb","2","1.6"
".vsixmanifest_copy61","2","0"
".vsixmanifest_copy60","2","0"
".vsixmanifest_copy6","2","0"
".vsixmanifest_copy59","2","0"
".vsixmanifest_copy58","2","0"
".vsixmanifest_copy57","2","0"
".gitignore_2","2","0"
".vsixmanifest_copy55","2","0"
".vsixmanifest_copy54","2","0"
".jshintrc_copy1","2","0"
".jshintrc_copy2","2","0"
".vsixmanifest_copy53","2","0"
".vsixmanifest_copy52","2","0"
".vsixmanifest_copy51","2","0"
".vsixmanifest_copy50","2","0"
".vsixmanifest_copy5","2","0"
".vsixmanifest_copy49","2","0"
".vsixmanifest_copy48","2","0"
".vsixmanifest_copy47","2","0"
".vsixmanifest_copy46","2","0"
".vsixmanifest_copy45","2","0"
".vsixmanifest_copy44","2","0"
".keychain","2","0"
".vsixmanifest_copy62","2","0"
".vsixmanifest_copy63","2","0"
".vsixmanifest_copy56","2","0"
".vsixmanifest_copy65","2","0"
".vsixmanifest_copy64","2","0"
".gitignore_13","2","0"
".vsixmanifest_copy7","2","0"
".vsixmanifest_copy67","2","0"
".geojson","2","0.2"
".globalconfig","2","0.1"
".gitmodules_copy1","2","0"
".jsa","2","57.4"
".vsixmanifest_copy66","2","0"
".vscodeignore_38","1","0"
".vscodeignore_37","1","0"
".vscodeignore_39","1","0"
".vscodeignore_4","1","0"
".vscodeignore_36","1","0"
".vsixmanifest_d834b8a8","1","0"
".vsixmanifest_f509bbe9","1","0"
".vscodeignore_40","1","0"
".vscodeignore_35","1","0"
".vscodeignore_34","1","0"
".vsixmanifest_d9806c52","1","0"
".vsixmanifest_e3379510","1","0"
".vscodeignore_33","1","0"
".vscodeignore_23","1","0"
".vsixmanifest_d5bb89a0","1","0"
".vscodeignore_24","1","0"
".vscodeignore_25","1","0"
".vscodeignore_26","1","0"
".vscodeignore_27","1","0"
".vscodeignore_28","1","0"
".vscodeignore_29","1","0"
".vscodeignore_3","1","0"
".vscodeignore_30","1","0"
".vscodeignore_31","1","0"
".vsixmanifest_2f9f15df","1","0"
".vscodeignore_32","1","0"
".vsixmanifest_d6e3e789","1","0"
".vsixmanifest_2d2c8015","1","0"
".vscodeignore_41","1","0"
".vscodeignore_42","1","0"
".vscodeignore_45","1","0"
".vscodeignore_43","1","0"
".vsixmanifest_e88ab1d4","1","0"
".vsixmanifest_1ed655e6","1","0"
".vscodeignore_22","1","0"
".vsixmanifest_ec793924","1","0"
".vsixmanifest_100e0097","1","0"
".vsixmanifest_07d8d16d_copy1","1","0"
".vsixmanifest_07d8d16d","1","0"
".vsixmanifest_222c07b4","1","0"
".vsixmanifest_05c03288","1","0"
".vsixmanifest_017ad170","1","0"
".all-contributorsrc_3b3dcc2a","1","0"
".vsixmanifest_f2a45451","1","0"
".vsixmanifest_f31cfd71","1","0"
".all-contributorsrc_4751bab1","1","0"
".vsixmanifest_da9f0e27","1","0"
".vscodeignore_9","1","0"
".vsixmanifest_d51273ab","1","0"
".vsixmanifest_243e8545","1","0"
".vscodeignore_7","1","0"
".vscodeignore_6","1","0"
".vscodeignore_5","1","0"
".vsixmanifest_d5a05acf","1","0"
".vscodeignore_48","1","0"
".vscodeignore_47","1","0"
".vsixmanifest_df83fada_copy1","1","0"
".vscodeignore_46","1","0"
".vsixmanifest_26da59ff","1","0"
".vsixmanifest_1406e6ff","1","0"
".vsixmanifest_df83fada","1","0"
".vscodeignore_44","1","0"
".vscodeignore_8","1","0"
".vscodeignore_21","1","0"
".URLStreamHandlerProvider","1","0"
".vscodeignore_2","1","0"
".codexpolicy","1","0"
".11_AUTOMATION__Makefile","1","0"
".codespellrc","1","0"
".codespellignore","1","0"
".16_console_plus_autopilot__LICENSE","1","0"
".16_console_plus_autopilot__Makefile","1","0"
".201505202024__LICENSE","1","0"
".1-win32-x64_resources_template__LICENSE","1","0"
".202310112209","1","0"
".21_graphcontracts_bloom_pcw_authority_highdeltas__LICENSE","1","0"
".21_graphcontracts_bloom_pcw_authority_highdeltas__Makefile","1","0"
".tiff","1","0"
".tika_port","1","0"
".clang-format_81309902","1","0"
".x86_64__jre__LICENSE","1","0"
".tm_properties_c155342f","1","0"
".closure-compiler","1","0"
".1_AUTOMATION__Makefile","1","0"
".ConnectFrameworkFactory","1","0"
".continueignore_7f507ca6","1","0"
".zshenv","1","0"
".0__SPEC_ADDENDUM_v0012__third_party__ehr_deidentification__LICENSE","1","0"
".zprofile","1","0"
".zlogin","1","0"
".0__SPEC_ADDENDUM_v0012__third_party__multilang_pii_ner__Dockerfile","1","0"
".zi","1","0.1"
".cvsignore","1","0"
".0-07218068cfa519613b646f716c6dc5b8db19e3779fe69bbb567d349ccd549385","1","0"
".0, Culture=neutral, PublicKeyToken=null","1","0"
".csv#","1","0"
".005","1","95"
".007","1","95"
".continueignore_copy5","1","0"
".continueignore_copy4","1","0"
".targ","1","0"
".continueignore_copy1","1","0"
".continueignore_7f507ca6_copy1","1","0"
".x86_64__jre__ASSEMBLY_EXCEPTION","1","0"
".vscodeignore_20","1","0"
".wy0","1","9.7"
".22_console_orchestrator_cyclepack_parallel__Makefile","1","0"
".vsixmanifest_f89aa542","1","0"
".all-contributorsrc_copy2","1","0"
".vsixmanifest_f899758a","1","0"
".voc","1","0"
".vscodeignore_1","1","0"
".vscodeignore_10","1","0"
".vscodeignore_11","1","0"
".airtaprc_40c63182","1","0"
".vscodeignore_12","1","0"
".vscodeignore_14","1","0"
".vscodeignore_15","1","0"
".vsixmanifest_f509bbe9_copy1","1","0"
".vscodeignore_16","1","0"
".vscodeignore_17","1","0"
".vscodeignore_18","1","0"
".vscodeignore_19","1","0"
".vscodeignore_13","1","0"
".vcproj","1","0"
".adobe","1","0"
".all-contributorsrc_copy3","1","0"
".3__META-INF__LICENSE","1","0"
".bash_history_4d49da73","1","0"
".8svx","1","0"
".bash_history_02cbd743_copy1","1","0"
".bash_history_02cbd743","1","0"
".babelrc_d87b2a86","1","0"
".babelrc_3a1e2be8","1","0"
".babelrc","1","0"
".applescript","1","0"
".appinstaller","1","0"
".whitelist","1","0"
".ani","1","0"
".vsixmanifest_d3d4e278","1","0"
".webidl","1","0"
".all-contributorsrc_copy5","1","0"
".all-contributorsrc_copy4","1","0"
".v20190916-1045","1","0"
".22_console_orchestrator_cyclepack_parallel__LICENSE","1","0"
".vsixmanifest_2f9f15df_copy1","1","0"
".vsixmanifest_7718bd09","1","0"
".vsixmanifest_328ab003","1","0"
".vsixmanifest_copy157","1","0"
".vsixmanifest_copy158","1","0"
".vsixmanifest_copy159","1","0"
".vsixmanifest_copy160","1","0"
".vsixmanifest_copy161","1","0"
".vsixmanifest_copy162","1","0"
".vsixmanifest_copy163","1","0"
".vsixmanifest_copy164","1","0"
".vsixmanifest_copy156","1","0"
".vsixmanifest_copy165","1","0"
".vsixmanifest_copy167","1","0"
".vsixmanifest_copy168","1","0"
".vsixmanifest_copy169","1","0"
".vsixmanifest_copy170","1","0"
".vsixmanifest_copy171","1","0"
".vsixmanifest_copy172","1","0"
".vsixmanifest_copy173","1","0"
".vsixmanifest_copy174","1","0"
".vsixmanifest_copy166","1","0"
".vsixmanifest_copy155","1","0"
".vsixmanifest_copy154","1","0"
".vsixmanifest_copy153","1","0"
".vsixmanifest_copy87","1","0"
".vsixmanifest_copy86","1","0"
".vsixmanifest_copy137","1","0"
".vsixmanifest_copy138","1","0"
".vsixmanifest_copy139","1","0"
".vsixmanifest_copy85","1","0"
".data","1","0"
".vsixmanifest_copy141","1","0"
".vsixmanifest_copy142","1","0"
".vsixmanifest_copy143","1","0"
".vsixmanifest_copy144","1","0"
".vsixmanifest_copy145","1","0"
".vsixmanifest_copy146","1","0"
".vsixmanifest_copy147","1","0"
".vsixmanifest_copy148","1","0"
".vsixmanifest_copy149","1","0"
".vsixmanifest_copy150","1","0"
".vsixmanifest_copy151","1","0"
".vsixmanifest_copy152","1","0"
".vsixmanifest_copy175","1","0"
".vsixmanifest_copy88","1","0"
".vsixmanifest_copy84","1","0"
".vsixmanifest_copy177","1","0"
".vsixmanifest_copy73","1","0"
".vsixmanifest_copy191","1","0"
".vsixmanifest_copy192","1","0"
".vsixmanifest_copy193","1","0"
".vsixmanifest_copy194","1","0"
".vsixmanifest_copy195","1","0"
".vsixmanifest_copy196","1","0"
".vsixmanifest_copy197","1","0"
".vsixmanifest_copy74","1","0"
".vsixmanifest_copy198","1","0"
".vsixmanifest_copy72","1","0"
".vsixmanifest_copy71","1","0"
".vsixmanifest_copy70","1","0"
".vsixmanifest_copy200","1","0"
".vsixmanifest_copy201","1","0"
".vsixmanifest_copy202","1","0"
".vsixmanifest_copy69","1","0"
".vsixmanifest_copy68","1","0"
".vsixmanifest_copy199","1","0"
".vsixmanifest_copy75","1","0"
".vsixmanifest_copy190","1","0"
".vsixmanifest_copy76","1","0"
".vsixmanifest_copy83","1","0"
".vsixmanifest_copy178","1","0"
".vsixmanifest_copy179","1","0"
".vsixmanifest_copy82","1","0"
".vsixmanifest_copy180","1","0"
".vsixmanifest_copy181","1","0"
".vsixmanifest_copy182","1","0"
".vsixmanifest_copy183","1","0"
".vsixmanifest_copy81","1","0"
".vsixmanifest_copy184","1","0"
".vsixmanifest_copy80","1","0"
".vsixmanifest_copy185","1","0"
".vsixmanifest_copy186","1","0"
".vsixmanifest_copy187","1","0"
".vsixmanifest_copy188","1","0"
".vsixmanifest_copy79","1","0"
".vsixmanifest_copy189","1","0"
".vsixmanifest_copy78","1","0"
".vsixmanifest_copy77","1","0"
".vsixmanifest_copy176","1","0"
".vsixmanifest_317a386b","1","0"
".vsixmanifest_copy136","1","0"
".vsixmanifest_copy134","1","0"
".vsixmanifest_9fd93d63","1","0"
".vsixmanifest_a2fae076","1","0"
".vsixmanifest_ab729088","1","0"
".vsixmanifest_ab729088_copy1","1","0"
".vsixmanifest_b26288b4","1","0"
".vsixmanifest_b26288b4_copy1","1","0"
".vsixmanifest_b388e064","1","0"
".vsixmanifest_b602479c","1","0"
".vsixmanifest_9cfc2f08","1","0"
".vsixmanifest_baad534e","1","0"
".vsixmanifest_c0e5f21e","1","0"
".vsixmanifest_c5d062ec","1","0"
".vsixmanifest_c5d062ec_copy1","1","0"
".vsixmanifest_c6855c9c","1","0"
".vsixmanifest_c72c49e4","1","0"
".vsixmanifest_caba2617","1","0"
".vsixmanifest_cbbfd511","1","0"
".vsixmanifest_cc57ac84","1","0"
".vsixmanifest_c07a5a6c","1","0"
".vsixmanifest_7834e8d7","1","0"
".vsixmanifest_77e0ce67","1","0"
".vsixmanifest_70d333cc","1","0"
".vsixmanifest_44dfc203","1","0"
".vsixmanifest_463c527b","1","0"
".vsixmanifest_47fea7ba","1","0"
".vsixmanifest_4aebf26c","1","0"
".vsixmanifest_4d987105","1","0"
".vsixmanifest_d340b5c6","1","0"
".vsixmanifest_copy99","1","0"
".vsixmanifest_copy98","1","0"
".vsixmanifest_copy97","1","0"
".vsixmanifest_5151e9b4","1","0"
".vsixmanifest_copy96","1","0"
".vsixmanifest_536eacce","1","0"
".vsixmanifest_536eacce_copy1","1","0"
".vsixmanifest_54596d4f","1","0"
".vsixmanifest_56aace78","1","0"
".vsixmanifest_589c7f79","1","0"
".vsixmanifest_59e1b6fd","1","0"
