anchor_kind,anchor_token,count
MCR,"MCR
2.222",1
MCR,"MCR
                          5.131",1
MCR,MCR 8.302,1
MCL,MCL 330.1455,1
MCL,"MCL
         330.2050",1
MCL,"MCL
              700.3951",1
MCR,MCR 5.204,1
MCR,MCR 5.208,1
MCL,MCL 700.3951,1
MCL,MCL 700.3801,1
MCL,MCL 700.7608,1
MCL,MCL 700.3987,1
MCR,"MCR
         2.106",1
MCL,MCL 700.3705,1
MCL,MCL 700.2205,1
MCL,MCL 558.1-558.29,1
MCR,MCR 5.113,1
MCR,"MCR
         5.310",1
MCR,"MCR
                   5.105",1
MCR,MCR 5.106,1
MCR,"MCR
         5.304",1
MCR,"MCR
              5.307",1
MCL,MCL 700.3306,1
MCL,"MCL
              700.3952",1
MCL,"MCL
         700.3952",1
MCL,MCL 700.3959,1
MCR,MCR 8.121,1
MCR,MCR 5.109,1
MCL,MCL 700.5312,1
MCL,MCL 712B.25,1
USC,25 USC 1915,1
MCL,MCL 700.5209,1
MCL,MCL 700.5219,1
MCR,MCR 5.409,1
MCL,MCL 700.1107,1
MCR,MCR 5.158,1
MCR,MCR 5.743,1
MCR,MCR 5.108,1
MCR,MCR 5.784,1
MCR,MCR 5.101,1
MCL,"MCL
                   700.1104",1
MCL,MCL 700.1104,1
MCL,MCL 600.2922,1
MCL,MCL 400.115k,1
MCR,MCR 6.009,1
MCR,"MCR
          2.501",1
MCL,MCL 257.625,1
MCL,MCL 780.131,1
MCR,"MCR
              2.407",1
MCL,MCL 764.1a,1
MCR,MCR 6.615,1
MCR,"MCR
         6.006",1
MCL,MCL 764.3,1
MCR,"MCR
          6.006",1
MCR,MCR 6.101,1
MCL,MCL 764.1c,1
MCL,MCL 762.10d,1
MCR,MCR 6.301,1
MCL,MCL 767.45,1
MCL,MCL 769.13,1
MCR,MCR 6.112,1
MCL,"MCL
         766.15",1
MCL,MCL 330.2020,1
MCL,MCL 330.2028,1
MCL,MCL 767.94a,1
MCR,"MCR
         6.302",1
MCR,MCR 2.510,1
MCR,MCR 2.511,1
MCR,"MCR
         6.431",1
MCL,MCL 777.1,1
MCR,"MCR
                   7.205",1
MCR,MCR 7.100,1
MCR,"MCR
         6.445",1
MCL,MCL 771.4b,1
MCL,MCL 780.621g,1
MCL,MCL 780.621h,1
MCR,MCR 6.505,1
MCR,MCR 6.504,1
MCR,"MCR
         6.504",1
MCR,MCR 6.508,1
MCR,"MCR
                   7.105",1
MCL,MCL 764.9c,1
MCL,MCL 600.606,1
MCL,MCL 750.92,1
MCL,MCL 750.157b,1
MCL,"MCL
               750.157a",1
MCL,"MCL
         761.1",1
MCL,MCL 803.224,1
MCR,MCR 6.907,1
MCR,MCR 6.004,1
MCL,"MCL
              764.27a",1
MCL,MCL 771.14,1
MCR,MCR 6.933,1
MCL,"MCL
              771.1",1
MCL,MCL 771.1,1
MCL,MCL 771.3a,1
MCR,"MCR
                   6.931",1
MCR,MCR 6.445,1
MCR,"MCR
         6.935",1
MCR,MCR 6.937,1
MCR,MCR 6.905,1
MCL,"MCL
              803.225",1
MCR,MCR 3.302,1
MCR,MCR 3.306,1
MCL,"MCL
              15.231",1
MCR,"MCR
         7.103",1
MCR,"MCR
         7.104",1
MCR,"MCR
                   7.209",1
MCL,MCL 600.2605,1
MCR,MCR 4.101,1
MCR,"MCR
                   7.109",1
MCL,MCL 24.304,1
MCL,MCL 421.1,1
MCL,MCL 421.38,1
MCR,"MCR
                   2.103",1
MCL,MCL 780.771,1
MCR,"MCR
         7.105",1
MCL,MCL 791.234,1
MCL,MCL 791.235,1
MCL,"MCL
                   24.207",1
MCL,MCL 24.303,1
MCL,MCL 257.1,1
