label,count
Node;Violation;he_files_an_additional_frivolous_Motiori;he_will_incur_sanctions_Plaintiffs_filing_of_these;Kind_violation,3
Node;Violation;the_Court_system_P_aintiff_shall_incur_sanctions_if_he_files_another_frivolous_Motion;Kind_violation,3
All_handling_fees_are_preserved_All_arrears_owed_to_the_State_of_Michigan_are_preserved_All_other_an_ears_are_preserved_unless;Node;Violation;Kind_violation,3
Attached_is_a_copy_of_that_order_and_either_proof_of_service_on_or_notification_to_the_respondent_of_that_order;Node;Violation;Kind_violation,3
L_3_I_request_the_court_to_order_the_respondent_to_appear_at_a_specified_time_to_answer_a_contempt_charge_or_to_issue;Node;Violation;Kind_violation,3
Node;The_undersigned_certifies_that_on_May_1_3;L_2024;she_served_a_true_copy_of_the;Violation;Kind_violation,3
Muskegon_COLINTYORDER_TO_SHOW_CAUSE;Node;Violation;Kind_violation,3
Node;Violation;known_addresses_as_defined_by_MCR_3_203_01_also_served_the_Deviation_Addendum_FOC_10d_with_this_order_I_dedare;Kind_violation,3
In_the_matter_of_contempt_of;Node;Violation;Kind_violation,3
Node;Violation;different_chi_dcare_arrangement_for_the_minor_child_Plaintiff_Father_is_not_working_so_the;Kind_violation,3
Node;The_court_has_reviewed_the_motion_to_show_cause_daterl3_26_2025;Violation;Kind_violation,3
Node;Violation;to_show_cause_why_the_respondent_should_not_be_held_in_contempt_for_violating_a_valid_personal_foreign_protection;Kind_violation,3
COUNTY_OF_MUSKEGONPROOF_OF_SERVICE;Node;Violation;Kind_violation,3
Node;Violation;order_Failure_to_appear_for_this_contempt_hearing_may_result_in_a_bench_warrant_being_issued_for_the_respondent_s;Kind_violation,3
Node;Violation;is_the_moral_fitness_of_the_parties_as_to_how_they_wiil_function_as_a_parent;Kind_violation,3
Node;Violation;A_bench_warrant_shall_be_issued_for_the_respondent_s_arrest_to_answer_a_contempt_charge_for_violating_a_valid_personal;Kind_violation,3
This_i_uffi_m_on_s_i_s_Invalid_unless_served_on_or_before_Its_expiration_date_This_e;D;L_7c;iRKMCOI_3_23_SUMMONS;Node;Violation;Kind_violation,3
Node;The_undersigned_certifies_that_on_May_13;L_2024;she_served_a_true_copy_of_the;Violation;Kind_violation,3
Motion_for_Protemive_Order_and_Sanctions_Motion_to_Quash_Subpoenas_and_for;Court;Node;Violation;Kind_violation,3
Node;Time;apd;Violation;t7iild_Support_Following_Faci_litajive_Inform_atiori_Gathe_rrng;Conference_is;Kind_violation,3
Node;Violation;efendan_i;CUST_CM_LD_S_UPPORT;Kind_violation,3
Node;Time;and_Child_Support_Following_Facilitative_nformation_Gathering_Conference_is;Violation;Kind_violation,3
L_14th_CIRCUIT_COURT;Node;Violation;Kind_violation,3
Defendant_Mother_is_current_on_her_mortgage_gWi_Ml;da;Node;Violation;Kind_violation,3
