dataset,source_name,primary_lane,rows,top_signal,avg_signal
pack_new_primary_all,3055edeb-0469-492a-9865-021bb87dcc03.md,MEEK3,2,58.21,45.345
pack_new_mixed_all,dba73432-3966-4a47-9ff7-90bbf1f2f1f2.zip,MEEK3,2,54.6,54.595
pack_new_mixed_all,96035745-eafb-42f8-81cf-4493f946e853.pdf,MEEK2,2,54.22,46.32
pack_new_mixed_all,a0da751d-4b19-46f9-8e48-0272150ab69d.pdf,MEEK2,2,54.22,46.32
pack_old_all,jtc_scanned_0010.pdf.txt,MEEK2,2,36.2,29.21
pack_old_all,court_docs_ppo_cust_scanned_0027.pdf.txt,MEEK2,2,33.85,28.825000000000003
pack_old_all,custody_scanned2_0072.pdf.txt,MEEK2,2,33.69,27.07
pack_old_all,dockets notices proofs scanned_0028.pdf,MEEK3,2,31.73,29.72
pack_old_all,ruscomartiniemailsscannd_0002.pdf,MEEK2,2,31.58,31.38
pack_old_all,dockets_notices_proofs_scanned_0028.pdf.txt,MEEK3,2,31.56,29.59
pack_old_all,healthwest2ndscanned_0001.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0010.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0011.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0013.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0014.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0015.pdf,MEEK2,2,31.06,31.06
pack_old_all,healthwest2ndscanned_0030.pdf,MEEK2,2,31.06,31.06
pack_old_all,ruscomartiniemailsscannd_0013.pdf,MEEK3,2,29.22,25.31
pack_old_all,ruscomartiniemailsscannd_0017.pdf,MEEK3,2,28.74,27.59
pack_old_all,ruscomartiniemailsscannd_0024.pdf,MEEK3,2,28.74,27.59
pack_old_all,jtc_scanned_0008.pdf.txt,MEEK3,2,28.13,27.2
pack_old_all,dockets notices proofs scanned_0020.pdf,MEEK3,2,27.85,26.520000000000003
pack_old_all,court_docs_ppo_cust_scanned_0007.pdf.txt,MEEK2,2,27.82,21.634999999999998
pack_old_all,emilys filings scanned_0012.pdf,MEEK3,2,27.76,25.475
pack_old_all,emilys filings scanned_0004.pdf,MEEK3,2,27.75,25.47
pack_old_all,custody_scanned2_0011.pdf.txt,MEEK2,2,27.53,21.855
pack_old_all,dockets_notices_proofs_scanned_0020.pdf.txt,MEEK3,2,27.44,26.265
pack_old_all,2sided_judge_orders_scanned_0015.pdf.txt,MEEK4,2,26.75,26.75
pack_old_all,bf5f0364-c042-4e93-91cc-d633ca70fdc4.md,MEEK3,2,25.96,23.725
pack_old_all,ruscomartiniemailsscannd_0022.pdf,MEEK3,2,25.83,23.86
pack_old_all,dockets notices proofs scanned_0007.pdf,MEEK3,2,25.16,25.15
pack_old_all,dockets_notices_proofs_scanned_0005.pdf.txt,MEEK3,2,25.09,25.09
pack_old_all,dockets_notices_proofs_scanned_0007.pdf.txt,MEEK3,2,25.09,25.09
pack_old_all,custody_scanned_0064.pdf.txt,MEEK2,2,24.71,22.740000000000002
pack_old_all,dockets notices proofs scanned_0002.pdf,MEEK2,2,24.46,23.47
pack_old_all,custody_scanned2_0002.pdf.txt,MEEK2,2,24.3,23.495
pack_old_all,emilys filings scanned_0009.pdf,MEEK3,2,23.77,23.48
pack_old_all,emilys_filings_scanned_0004.pdf.txt,MEEK3,2,23.48,23.325000000000003
pack_old_all,emilys_filings_scanned_0012.pdf.txt,MEEK3,2,23.48,23.28
pack_old_all,emilys_filings_scanned_0009.pdf.txt,MEEK3,2,23.18,23.13
pack_old_all,2sided_judge_orders_scanned_0029.pdf.txt,MEEK3,2,23.12,23.12
pack_old_all,court docs ppo cust scanned_0031.pdf,MEEK2,2,22.84,21.475
pack_old_all,2sided_judge_orders_scanned_0004.pdf.txt,MEEK2,2,22.59,22.59
pack_old_all,2sided_judge_orders_scanned_0001.pdf.txt,MEEK2,2,22.34,22.34
pack_old_all,custody_scanned2_0050.pdf.txt,MEEK2,2,22.2,20.27
pack_old_all,custody_scanned_0002.pdf.txt,MEEK2,2,22.18,19.23
pack_old_all,court_docs_ppo_cust_scanned_0015.pdf.txt,MEEK2,2,22.13,22.095
pack_old_all,court_docs_ppo_cust_scanned_0018.pdf.txt,MEEK2,2,22.12,19.115000000000002
pack_old_all,dockets_notices_proofs_scanned_0003.pdf.txt,MEEK2,2,22.06,22.06
pack_old_all,2sided_judge_orders_scanned_0029.pdf.txt,MEEK4,2,21.07,21.07
